URL_Product,product_name,brand,product_type,regular_price,sale_price,rating,review_count,description,how_to_use,ingredients,bpom_number,image_url,local_image_path
https://www.sociolla.com/skin-care-set/90194-acne-treatment-face-oil-5ml-acne-barrier-hydro-moisturizer-bundle-30gr,,,Skin Care,Rp360.000,Rp291.600,,0,,,,,,
https://www.sociolla.com/skin-care-set/90190-glycolic-brightening-cleanser-15ml-potent-c-power-serum-60ml-bundle,,,Skin Care,Rp250.000,Rp202.500,,0,,,,,,
https://www.sociolla.com/skin-care-set/90186-phyto-power-essence-25ml-luxurious-face-oil-5ml-bundle,,,Skin Care,Rp270.000,Rp218.700,,0,,,,,,
https://www.sociolla.com/skin-care-set/90184-glycolic-brightening-cleanser-60ml-luxurious-face-oil-5ml-bundle,,,Skin Care,Rp245.000,Rp198.450,,0,,,,,,
https://www.sociolla.com/cleansing-wipes/90183-bundle-duo-cleansing-tissue-ariul,,,Skin Care,Rp70.000,Rp52.500,,0,,,,,,
https://www.sociolla.com/skin-care-set/90182-potent-c-power-serum-15ml-luxurious-face-oil-5ml-bundle,,,Skin Care,Rp245.000,Rp198.450,,0,,,,,,
https://www.sociolla.com/sunscreen/90181-cica-res-q10-water-break-sun-shield,,,Skin Care,,,4.5,0,,,,,,
https://www.sociolla.com/skin-care-set/90178-ultimate-hydration-set,,,Skin Care,Rp368.900,Rp313.565,,0,,,,,,
https://www.sociolla.com/skin-care-set/90175-blemish-free-glow-set,,,Skin Care,Rp348.900,Rp296.565,,0,,,,,,
https://www.sociolla.com/skin-care-set/90174-clean-and-cover-bundle,,,Skin Care,Rp378.000,Rp264.600,,0,,,,,,
https://www.sociolla.com/sunscreen/90171-carasun-solar-smart-protection-set-30ml-and-70ml,,,Skin Care,Rp229.900,Rp149.435,,0,,,,,,
https://www.sociolla.com/face-serum/90169-bright-and-barrier-repair-serum,,,Skin Care,,,,0,,,,,,
https://www.sociolla.com/eyelash-serum/90150-lashbooster-multi-peptide-lash-and-brow-serum,,,Skin Care,,,5.0,0,,,,,,
https://www.sociolla.com/face-cream-lotion/90148-acneact-pore-minimizer-and-oil-control-gel-cream,,,Skin Care,,,,0,,,,,,
https://www.sociolla.com/lip-balm/90121-ultimate-lip-plumper,,,Skin Care,Rp299.000,Rp99.000 - Rp105.000,5.0,0,,,,,,
https://www.sociolla.com/sunscreen/90092-tweety-green-tea-sun-serum-set,,,Skin Care,,,,0,,,,,,
https://www.sociolla.com/skin-care-set/90091-tweety-vita-c-serum-set,,,Skin Care,,,4.6,0,,,,,,
https://www.sociolla.com/lip-balm/90089-lip-rescue-jelly-balm-dusty-rose,,,Skin Care,,,5.0,0,,,,,,
https://www.sociolla.com/lip-balm/90056-glass-tinted-lip-balm,,,Skin Care,Rp89.000,Rp71.200,4.3,0,,,,,,
https://www.sociolla.com/lip-serum/90043-power-series-glow-lip-oil-rose-pink,,,Skin Care,Rp59.000,Rp54.870,4.9,0,,,,,,
https://www.sociolla.com/sheet-mask/90001-hydro-cera-nol-real-deep-mask,,,Skin Care,Rp69.000,Rp64.170,,0,,,,,,
https://www.sociolla.com/sheet-mask/90000-bio-collagen-real-deep-mask,,,Skin Care,Rp69.000,Rp64.170,5.0,0,,,,,,
https://www.sociolla.com/toner/89984-overnight-glow-exfoliating-mousse-solution,,,Skin Care,Rp169.000,Rp152.100,,0,,,,,,
https://www.sociolla.com/skin-care-set/89907-gold-milk-60ml-gold-spray-gwp-gold-gel-15gr,,,Skin Care,Rp803.500,Rp725.000,,0,,,,,,
https://www.sociolla.com/skin-care-set/89906-bundle-3-night-sun-care-gold-milk-20ml-gwp-gold-gel-15gr,,,Skin Care,Rp637.000,Rp508.000,,0,,,,,,
https://www.sociolla.com/skin-care-set/89904-bundle-2-day-serum-gwp-gold-gel-15gr,,,Skin Care,Rp548.000,Rp508.000,,0,,,,,,
https://www.sociolla.com/skin-care-set/89903-bundle-1-gold-spray-gold-milk-20ml,,,Skin Care,,,,0,,,,,,
https://www.sociolla.com/skin-care-set/89854-sensitive-set,,,Skin Care,Rp275.300,Rp192.710,,0,,,,,,
https://www.sociolla.com/face-wash/89835-hydro-boost-water-gel-cleanser,,,Skin Care,Rp135.000,Rp94.500,5.0,0,,,,,,
https://www.sociolla.com/eye-cream/89834-visible-repair-eye-cream,,,Skin Care,Rp119.000,Rp76.160,4.8,0,,,,,,
https://www.sociolla.com/face-serum/89833-visible-repair-serum,,,Skin Care,Rp259.000,Rp165.760,4.5,0,,,,,,
https://www.sociolla.com/face-cream-lotion/89832-visible-repair-regenerating-cream,,,Skin Care,Rp299.000,Rp191.360,3.9,0,,,,,,
https://www.sociolla.com/face-serum/89831-hydro-boost-niacinamide-serum,,,Skin Care,Rp192.000,Rp134.400,,0,,,,,,
